0.69 0.63 0 0 0
1.05 0.9 0 0 0
1.4 1.17 0 0 0
1.76 1.43 0 0 0
2.12 1.7 0 0 0
2.47 1.97 0 0 0
2.83 2.24 0 0 0
3.18 2.51 0 0 0
0.69 0.73 0 0 0
1.04 0.97 0 0 0
1.4 1.21 0 0 0
1.76 1.45 0 0 0
2.11 1.69 0 0 0
2.47 1.93 0 0 0
2.83 2.17 0 0 0
3.18 2.41 0 0 0
3.54 2.66 0 0 0
0.69 0.83 0 0 0
1.04 1.04 0 0 0
1.4 1.26 0 0 0
1.75 1.47 0 0 0
2.11 1.68 0 0 0
2.47 1.9 0 0 0
2.82 2.11 0 0 0
3.18 2.32 0 0 0
3.54 2.54 0 0 0
0.68 0.93 0 0 0
1.04 1.11 0 0 0
1.4 1.3 0 0 0
1.75 1.49 0 0 0
2.11 1.67 0 0 0
2.46 1.86 0 0 0
2.82 2.04 0 0 0
3.18 2.23 0 0 0
3.53 2.42 0 0 0
0.68 1.03 0 0 0
1.04 1.19 0 0 0
1.39 1.34 0 0 0
1.75 1.5 0 0 0
2.11 1.66 0 0 0
2.46 1.82 0 0 0
2.82 1.98 0 0 0
3.17 2.14 0 0 0
3.53 2.3 0 0 0
0.68 1.13 0 0 0
1.04 1.26 0 0 0
1.39 1.39 0 0 0
1.75 1.52 0 0 0
2.1 1.65 0 0 0
2.46 1.78 0 0 0
2.82 1.91 0 0 0
3.17 2.05 0 0 0
3.53 2.18 0 0 0
0.68 1.23 0 0 0
1.03 1.33 0 0 0
1.39 1.43 0 0 0
1.75 1.54 0 0 0
2.1 1.64 0 0 0
2.46 1.75 0 0 0
2.81 1.85 0 0 0
3.17 1.95 0 0 0
3.53 2.06 0 0 0
0.68 1.32 0 0 0
1.03 1.4 0 0 0
1.39 1.48 0 0 0
1.74 1.55 0 0 0
2.1 1.63 0 0 0
2.46 1.71 0 0 0
2.81 1.79 0 0 0
3.17 1.86 0 0 0
3.52 1.94 0 0 0
0.67 1.42 0 0 0
1.03 1.47 0 0 0
1.39 1.52 0 0 0
1.74 1.57 0 0 0
2.1 1.62 0 0 0
2.45 1.67 0 0 0
2.81 1.72 0 0 0
3.16 1.77 0 0 0
3.52 1.82 0 0 0
0.67 1.52 0 0 0
1.03 1.55 0 0 0
1.38 1.57 0 0 0
1.74 1.59 0 0 0
2.09 1.61 0 0 0
2.45 1.63 0 0 0
2.81 1.66 0 0 0
3.16 1.68 0 0 0
3.52 1.7 0 0 0
0.67 1.62 0 0 0
1.03 1.62 0 0 0
1.38 1.61 0 0 0
1.74 1.61 0 0 0
2.09 1.6 0 0 0
2.45 1.6 0 0 0
2.8 1.59 0 0 0
3.16 1.59 0 0 0
3.52 1.58 0 0 0
0.67 1.72 0 0 0
1.02 1.69 0 0 0
1.38 1.66 0 0 0
1.73 1.62 0 0 0
2.09 1.59 0 0 0
2.45 1.56 0 0 0
2.8 1.53 0 0 0
3.16 1.49 0 0 0
3.51 1.46 0 0 0
0.67 1.82 0 0 0
1.02 1.76 0 0 0
1.38 1.7 0 0 0
1.73 1.64 0 0 0
2.09 1.58 0 0 0
2.44 1.52 0 0 0
2.8 1.46 0 0 0
3.15 1.4 0 0 0
3.51 1.34 0 0 0
0.66 1.92 0 0 0
1.02 1.83 0 0 0
1.37 1.75 0 0 0
1.73 1.66 0 0 0
2.09 1.57 0 0 0
2.44 1.48 0 0 0
2.8 1.4 0 0 0
3.15 1.31 0 0 0
3.51 1.22 0 0 0
0.66 2.02 0 0 0
1.02 1.9 0 0 0
1.37 1.79 0 0 0
1.73 1.68 0 0 0
2.08 1.56 0 0 0
2.44 1.45 0 0 0
2.79 1.33 0 0 0
3.15 1.22 0 0 0
3.51 1.1 0 0 0
0.66 2.12 0 0 0
1.01 1.98 0 0 0
1.37 1.83 0 0 0
1.73 1.69 0 0 0
2.08 1.55 0 0 0
2.44 1.41 0 0 0
2.79 1.27 0 0 0
3.15 1.12 0 0 0
3.5 0.98 0 0 0
0.66 2.22 0 0 0
1.01 2.05 0 0 0
1.37 1.88 0 0 0
1.72 1.71 0 0 0
2.08 1.54 0 0 0
2.43 1.37 0 0 0
2.79 1.2 0 0 0
3.15 1.03 0 0 0
3.5 0.86 0 0 0
0.65 2.32 0 0 0
1.01 2.12 0 0 0
1.37 1.92 0 0 0
1.72 1.73 0 0 0
2.08 1.53 0 0 0
2.43 1.33 0 0 0
2.79 1.14 0 0 0
3.14 0.94 0 0 0
3.5 0.74 0 0 0
0.65 2.42 0 0 0
1.01 2.19 0 0 0
1.36 1.97 0 0 0
1.72 1.74 0 0 0
2.07 1.52 0 0 0
2.43 1.3 0 0 0
2.78 1.07 0 0 0
3.14 0.85 0 0 0
3.5 0.62 0 0 0
0.65 2.52 0 0 0
1.01 2.26 0 0 0
1.36 2.01 0 0 0
1.72 1.76 0 0 0
2.07 1.51 0 0 0
2.43 1.26 0 0 0
2.78 1.01 0 0 0
3.14 0.76 0 0 0
3.49 0.5 0 0 0
